Planner,LLM,S0 IPC,S1 IPC,S2 IPC,S3 IPC,Best Stage,Gain (S3-S0)
BFWS,GPT-5.4,46.0822,44.2293,33.8558,48.5706,S3,2.4884
BFWS,Claude Opus 4.6,46.0822,45.8377,46.6626,46.4814,S2,0.3992
BFWS,DeepSeek-R1,46.0822,29.8405,45.0327,35.3956,S0,-10.6866
BFWS,Gemini 3.1 Pro,46.0822,41.9428,45.677,47.1175,S3,1.0353
LAMA,GPT-5.4,40.3947,40.065,36.5054,41.7347,S3,1.34
LAMA,Claude Opus 4.6,40.3947,39.9972,41.0459,41.8903,S3,1.4956
LAMA,DeepSeek-R1,40.3947,21.194,41.4627,40.5792,S2,0.1845
LAMA,Gemini 3.1 Pro,40.3947,41.022,26.2945,41.5978,S3,1.2031
DecStar,GPT-5.4,17.2045,16.9445,17.2359,16.9554,S2,-0.2491
DecStar,Claude Opus 4.6,17.2045,17.0657,17.4494,17.1444,S2,-0.0601
DecStar,DeepSeek-R1,17.2045,10.2634,17.4756,16.9839,S2,-0.2206
DecStar,Gemini 3.1 Pro,17.2045,17.1781,6.7397,16.9585,S0,-0.246
Madagascar,GPT-5.4,19.9944,19.5547,20.2483,20.292,S3,0.2976
Madagascar,Claude Opus 4.6,19.9944,19.7911,21.2254,20.0408,S2,0.0464
Madagascar,DeepSeek-R1,19.9944,17.0153,20.4934,19.6395,S2,-0.3549
Madagascar,Gemini 3.1 Pro,19.9944,21.4285,21.2634,20.7812,S1,0.7868
