LLM,Planner,Target IPC (sum),Target Domains,Cross IPC (sum),Cross Domains,Total IPC
GPT-5.4,BFWS,44.0066,4,73.9402,6,117.9468
GPT-5.4,LAMA,45.2248,4,57.7618,5,102.9866
GPT-5.4,DecStar,25.3426,5,41.1958,8,66.5384
GPT-5.4,Madagascar,20.8252,5,44.8868,8,65.712
Claude Opus 4.6,BFWS,58.8949,5,114.6987,10,173.5936
Claude Opus 4.6,LAMA,50.9444,5,88.7198,8,139.6642
Claude Opus 4.6,DecStar,25.6532,5,59.6987,10,85.3519
Claude Opus 4.6,Madagascar,21.8258,5,62.1446,11,83.9704
DeepSeek-R1,BFWS,56.9076,5,91.8637,8,148.7713
DeepSeek-R1,LAMA,51.5098,5,59.205,5,110.7148
DeepSeek-R1,DecStar,25.7037,5,57.1125,8,82.8162
DeepSeek-R1,Madagascar,21.6526,5,55.049,9,76.7016
Gemini 3.1 Pro,BFWS,57.7845,5,71.8729,7,129.6574
Gemini 3.1 Pro,LAMA,36.1273,4,53.7577,6,89.885
Gemini 3.1 Pro,DecStar,7.9766,3,61.1754,9,69.152
Gemini 3.1 Pro,Madagascar,22.2862,5,40.8561,8,63.1423
